# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
A1001	谷物种植	011谷物种植	谷物种植 011谷物种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1002	豆类种植	0121豆类种植	豆类种植 0121豆类种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1003	油料种植	0122油料种植	油料种植 0122油料种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1004	薯类种植	0123薯类种植	薯类种植 0123薯类种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1005	棉花种植	0131棉花种植	棉花种植 0131棉花种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1006	麻类作物种植（不含大麻）	0132麻类种植	麻类作物种植（不含大麻） 0132麻类种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1007	糖料作物种植	0133糖料种植	糖料作物种植 0133糖料种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1008	烟草种植	0134烟草种植	烟草种植 0134烟草种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1009	蔬菜种植	0141蔬菜种植	蔬菜种植 0141蔬菜种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1010	食用菌种植	0142食用菌种植	食用菌种植 0142食用菌种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1011	花卉种植	0143花卉种植	花卉种植 0143花卉种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1012	园艺产品种植	0149其他园艺作物种植	园艺产品种植 0149其他园艺作物种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1013	水果种植	015水果种植	水果种植 015水果种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1014	坚果种植	0161坚果种植	坚果种植 0161坚果种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1015	含油果种植	0162含油果种植	含油果种植 0162含油果种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1016	香料作物种植	0163香料作物种植	香料作物种植 0163香料作物种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1017	茶叶种植	0164茶叶种植	茶叶种植 0164茶叶种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1018	可可豆种植	0169其他饮料作物种植	可可豆种植 0169其他饮料作物种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1019	咖啡豆种植	0169其他饮料作物种植	咖啡豆种植 0169其他饮料作物种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1020	中草药种植	0171中草药种植；0179其他中药材种植	中草药种植 0171中草药种植；0179其他中药材种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1021	草种植	0181草种植	草种植 0181草种植 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1022	天然草原割草	0182天然草原割草	天然草原割草 0182天然草原割草
A1023	水生植物种植	0190其他农业	水生植物种植 0190其他农业 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
A1025	草种生产经营	0149其他园艺作物种植；021林木育种和育苗 普及型国外引种试种苗圃资格认定;林 草种子（普通）生产经营	草种生产经营 0149其他园艺作物种植；021林木育种和育苗 普及型国外引种试种苗圃资格认定;林 草种子（普通）生产经营许可证核发; 林草种子（林木良种，主要草种杂交种 子及其亲本种子、常规原种种子，选育 生产经营相结合单位）生产经营许可证 普及型国外引种试种苗圃资格认定林 草种子（普通）生产经营许可证核发 林草种子（林木良种，主要草种杂交 种子及其亲本种子、常规原种种子， 选育生产经营相结合单位）生产经营 普及型国外引种试种苗圃 资格认定；农作物种子、 林木种子、草种、烟草种 、中药材种、食用菌菌种 生产经营、进出口许可 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。禁止投资农作物、种畜禽、水产苗种转基因 品种选育及其转基因种子（苗）生产。
A1026	工业大麻种植	0132麻类种植	工业大麻种植 0132麻类种植
A1027	橡胶作物种植	021林木育种和育苗	橡胶作物种植 021林木育种和育苗
A1028	农产品的生产、销售、加工、 运输、贮藏及其他相关服务	5111谷物、豆及薯类批发；131谷物磨制；137蔬菜、菌类、 水果和坚果加工；019其他农业；136水产品加工	农产品的生产、销售、加工、 运输、贮藏及其他相关服务 5111谷物、豆及薯类批发；131谷物磨制；137蔬菜、菌类、 水果和坚果加工；019其他农业；136水产品加工
A1029	农业生产资料的购买、使用	019其他农业	农业生产资料的购买、使用 019其他农业
A1030	石斛种植	017中药材种植	石斛种植 017中药材种植
